headline,category,publish_date,access_date,video,url
People are calling for museums to be abolished. Can whitewashed American history be rewritten?,style,style-article-natural-history-museum-whitewashing-monuments-statues-trnd,2020-06-27,False,/style/article/natural-history-museum-whitewashing-monuments-statues-trnd/index.html
Debate over renaming Fort Bragg looms over Senate race and other down ballot contest,politics,2020-06-27,2020-06-27,False,/2020/06/27/politics/fort-bragg-thom-tillis-north-carolina-senate-race/index.html
Bipolar man with a sword dies after being tased by NYPD,us,2020-06-25,2020-06-27,False,/2020/06/25/us/bipolar-man-sword-dies-tased-police/index.html
Artist says 'institutional white fragility' has to end,style,style-article-shaun-leonardo-moca-snyder-resignation-controversy,2020-06-27,False,/style/article/shaun-leonardo-moca-snyder-resignation-controversy/index.html
A wedding photographer like no other,style,style-article-ian-weldon-wedding-photos,2020-06-27,False,/style/article/ian-weldon-wedding-photos/index.html
Supermodel Joan Smalls pledges half her wages to Black Lives Matter,style,style-article-joan-smalls-donatemywage,2020-06-27,False,/style/article/joan-smalls-donatemywage/index.html
The fashion industry says it stands against racism. Critics aren't buying it ,style,style-article-fashion-industry-black-lives-matter,2020-06-27,False,/style/article/fashion-industry-black-lives-matter/index.html
What does lavender mean to LGBTQ history?,style,style-article-lgbtq-lavender-symbolism-pride,2020-06-27,False,/style/article/lgbtq-lavender-symbolism-pride/index.html
This is pop culture's moment of reckoning on matters of race,entertainment,2020-06-25,2020-06-27,False,/2020/06/25/entertainment/pop-culture-reckoning-race-trnd/index.html
'Twilight Zone' returns with more strangeness,entertainment,2020-06-25,2020-06-27,False,/2020/06/25/entertainment/twilight-zone-review/index.html
Kristen Bell will no longer voice a mixed-race character ,entertainment,2020-06-25,2020-06-27,False,/2020/06/25/entertainment/kristen-bell-central-park-leaving/index.html
Jon Stewart tackles money and politics in 'Irresistible',entertainment,2020-06-25,2020-06-27,False,/2020/06/25/entertainment/irresistible-review/index.html
Miley Cyrus talks about sobriety,entertainment,2020-06-24,2020-06-27,False,/2020/06/24/entertainment/miley-cyrus-sober/index.html
This may be America's first known wrongful arrest involving facial recognition,tech,2020-06-24,2020-06-27,False,/2020/06/24/tech/aclu-mistaken-facial-recognition/index.html
Silicon Valley can no longer 'tinker around the edges' to fix its diversity problem,tech,2020-06-24,2020-06-27,False,/2020/06/24/tech/diversity-silicon-valley/index.html
The Segway is officially over,tech,2020-06-23,2020-06-27,False,/2020/06/23/tech/segway-pt-shut-down/index.html
What we know about Pokémon's two new games,tech,2020-06-24,2020-06-27,False,/2020/06/24/tech/pokemon-unite-pokemon-cafe-mix/index.html
